isbn,책제목,출판사
1,HARDCODE(나 잘난 박사의 IT정글 서바이벌 가이드),에이콘출판
2,HTTP 완벽 가이드,인사이트
3,IT아키텍트가 하지 말아야 할 128가지,로드북
4,Javaエンジニア養成,技術評論社
5,はじめての上流工程をやり?くため本（エンジニア道場）（?行本（ソフトカバ?））,翔泳社
6,객체지향과 디자인패턴,인투북스
7,개발자도 알아야 할 소프트웨어 테스팅 실무,STA(소프트웨어테스팅연구소)
8,관계형 데이터베이스 실전입문,위키북스
9,구글은 어떻게 일하는가,김영사
10,넥스트 머니 비트코인,부키
11,데이터마이닝 개념과 기법,에이콘출판
12,데이터 예측을 위한 머신러닝,에이콘출판
13,데이터베이스 개론,한빛아카데미
14,데이터베이스 첫걸음 완전 초보의 데이터베이스,한빛미디어
15,디지털 콘텐츠 기획(IT Cook book 201),한빛아카데미
16,리눅스 커널 내부구조,아티오
17,리팩토링 : 코드품질을 개선하는 객체지향사고법,한빛미디어
18,머신러닝 워크북,길벗
19,메모리 포렌식,혜지원
20,및바닥부터 시작하는 딥러닝,한빛미디어
21,빅데이터 [ 기획 및 분석 ],크라운1
22,소프웍스앤솔러지,위키북스
23,소프트웨어장인,길벗
24,실무 프로젝트로 배우는 빅데이터 기술,위키북스
25,실용주의 프로그래머,인사이트
26,아마존 웹 서비스 인 액션,한빛미디어
27,아마존 웹 서비스를 이용한 글로벌 서비스 인프라,위키북스
28,악성코드,비팬북스
29,자료구조 입문 알고리즘,프리렉
30,알고리즘으로 배우는 인공지능,위키북스
31,어서와 해킹은 처음이지,비팬북스
32,역사속의 소프트웨어 오류,에이콘출판
33,오픈 스택 기반의 프라이빗 클라우드 서비스,제이펍
34,웹 해킹 입문,프리렉
35,윤성우의 열혈자료구조,오렌지미디어
36,읽기 좋은 코드가 좋은 코드다,한빛미디어
37,제2의 기계 시대,청림출판
38,조엘 온 소프트웨어,에이콘출판
39,IOT 백신초급,한빛미디어
40,처음 만나는 알고리즘,제이펍
41,처음 배우는 인공지능,한빛미디어
42,그림 한 장으로 보는 최신 IOT 사물인터넷,정보문화사
43,이산수학,한빛아카데미
44,켄트백의 구현 패턴,에이콘출판
45,클라우드 API를 활용한 빅데이터 분석,에이콘출판
46,탄력적 개발로 이끄는 AWS 실천기술,제이펍
47,프로그래밍 가이드북,정보문화사
48,프로젝트가 서쪽으로 간 까닭은,인사이트
49,함수형 사고,한빛미디어
50,해커 와 화가,한빛미디어
51,훌륭한 프로그래머 되는법,한빛미디어
52,仕事で恥をかかないビジネスマナ?（日?文庫）,日本??新聞出版社
53,사진으로 보고 가장 쉽게 읽는 일본 문화,시사일본어사
54,일자리 혁명 2030,비즈니스북스
55,これが本?のSPI３だ！,洋泉社
56,これが本?のSCOAだ！,洋泉社
57,자바프로그래밍 면접 이렇게 준비한다,한빛미디어
58,프로그래밍 면접 이렇게 준비한다,한빛미디어
59,就職活動の神?のSPI(15년도),自由民?社
60,ユ?キャンのSPI3(16년도),自由民?社
61,CleanCode (클린코드),인사이트
62,Do it C언어 입문,이지스퍼블리싱
63,Do it Node.js프로그래밍,이지스퍼블리싱
64,Do it 반응형 웹 만들기,이지스퍼블리싱
65,Do it 스위프트로 아이폰 앱 만들기,이지스퍼블리싱
66,Do it 점프 투 파이썬,이지스퍼블리싱
67,ECMA Script6 두고두고 보는 자바스크립트 표준 레퍼런스,루비페이퍼
68,Effective Unit Testing,한빛미디어
69,GOF의 디자인 패턴,프로텍미디어
70,JPA 프로그래밍 입문,가메출판사
71,Node.js 6.x 블루프린트 10가지 모던웹앱프로젝트,한빛미디어
72,RESTful Web API 웹 API를 위한 모범전략 가이드,인사이트
73,RxJava를 활용한 리액티브 프로그래밍,인사이트
74,The Nature of Software Development,한빛미디어
75,UML 실전에서는 이것만 쓴다,인사이트
76,노드 JS와 몽고 DB로 웹 개발 시작하기,에이콘출판
77,뇌를 자극하는 C# 5.0프로그래밍,한빛미디어
78,누구나 쉽게 배우는 자바스크립트,비제이퍼블릭
79,데이터 분석이 쉬워지는 정규 표현식 빅데이터,와우북스
80,러닝 자바스크립트,한빛미디어
81,리눅스 프로그래밍 with 라즈베리파이,제이펍
82,마이바티스 프로그래밍 원리와 활용,에이콘출판
83,사이버 범죄 해결사 디지털 포렌식,에이콘출판
84,생활코딩! 자바 프로그래밍 입문,위키북스
85,Angular2 프로그래밍,위키북스
86,스위프트 프로그래밍,한빛미디어
87,스프링 인 액션(4판),제이펍
88,시작하세요 ! 리액트 프로그래밍,위키북스
89,시작하세요 ! 하둡 프로그래밍,위키북스
90,실무에서 바로 통하는 자바,한빛미디어
91,안드로이드게임 개발의 정석,제이펍
92,안드로이드 데이터베이스 실전에 바로 적용할 수 있는 안드로이드 지침서,에이콘출판
93,앵귤러 첫걸음,한빛미디어
94,웹개발자를 위한 Scpring 4.0 프로그래밍,가메출판사
95,이펙티브 자바,인사이트
96,이펙티브 자바스크립트,인사이트
97,자바 ORM표준 JPA프로그래밍,에이콘출판
98,자바 퍼즐러,한빛미디어
99,자바객체지향 디자인패턴,한빛미디어
100,자바스크립트 완벽 가이드,인사이트
101,Java의 정석(3판),도우출판
102,처음 만나는 파이썬,제이펍
103,최범균의 JSP2.3 웹프로그래밍 기초부터 중급까지,가메출판사
104,프로 리액트,위키북스
105,행복한 프로그래밍,한빛미디어
106,마이바티스를 사용한 자바 퍼시스턴스 개발,에이콘출판
107,프로스프링3,위키북스
108,퍼펙트 자바스크립트,위키북스
109,자바스크립트 객체지향 프로그래밍,위키북스
